,User-ID,Location,Age
2275,2276,"niskayuna, new york, usa",46.0
3362,3363,"knoxville, tennessee, usa",29.0
3756,3757,"madrid, madrid, spain",
6250,6251,"wahiawa, hawaii, usa",32.0
6542,6543,"strafford, missouri, usa",34.0
6574,6575,"seattle, washington, usa",
7157,7158,"omaha, nebraska, usa",30.0
7345,7346,"sunnyvale, california, usa",49.0
8680,8681,"orlando, florida, usa",34.0
8889,8890,"paris, ile-de-france, france",47.0
11600,11601,"brooklyn, new york, usa",
11675,11676,"n/a, n/a, n/a",
11992,11993,"lakewood, colorado, usa",37.0
12537,12538,"byron, minnesota, usa",18.0
13272,13273,"harrisburg, pennsylvania, usa",201.0
13551,13552,"cordova, tennessee, usa",32.0
14421,14422,"apple valley, minnesota, usa",
14520,14521,"providence, rhode island, usa",
15407,15408,"cary, north carolina, usa",34.0
16633,16634,"little rock, arkansas, usa",42.0
16794,16795,"mechanicsville, maryland, usa",47.0
16915,16916,"hackettstown, new jersey, usa",53.0
16965,16966,"waterloo, ontario, canada",41.0
17949,17950,"puchong, selangor, malaysia",32.0
20114,20115,"lansdale, pennsylvania, usa",32.0
21013,21014,"fresno, california, usa",
23767,23768,"st. louis, missouri, usa",45.0
23871,23872,"tulsa, oklahoma, usa",22.0
23901,23902,"london, england, united kingdom",
24920,24921,"higley, arizona, usa",29.0
25408,25409,"la mesa, california, usa",31.0
25980,25981,"nj, new jersey, usa",
26515,26516,"victor, montana, usa",67.0
26534,26535,"hickory, mississippi, usa",41.0
26543,26544,"woodbridge, virginia, usa",37.0
27616,27617,"beaverton, ontario, canada",32.0
28203,28204,"south ohio, nova scotia, canada",61.0
28522,28523,"springfield, missouri, usa",24.0
28590,28591,"michie, tennessee, usa",33.0
29258,29259,"mt. airy, , usa",39.0
29854,29855,"morris, connecticut, usa",53.0
30275,30276,"wildwood, new jersey, usa",49.0
30510,30511,"culemborg, gelderland, netherlands",
30532,30533,"charleston, south carolina, usa",
30710,30711,"sydney, new south wales, australia",32.0
31314,31315,"henryville, indiana, usa",34.0
31555,31556,"chula vista, california, usa",51.0
31825,31826,"jasper, missouri, usa",54.0
32194,32195,"fall river, massachusetts, usa",
32439,32440,"dunedin, otago, new zealand",
32720,32721,"toulouse, haute-garonne, france",36.0
32772,32773,"olathe, kansas, usa",28.0
33973,33974,"barnhart, missouri, usa",24.0
35049,35050,"west columbia, south carolina, usa",33.0
35856,35857,"mentor, ohio, usa",36.0
35858,35859,"duluth, minnesota, usa",
36605,36606,"san marcos, california, usa",39.0
36608,36609,"zachary, louisiana, usa",32.0
36835,36836,"raleigh, north carolina, usa",56.0
37711,37712,"cincinnati, ohio, usa",23.0
37949,37950,"calgary, alberta, canada",
38022,38023,"hayward, california, usa",30.0
38780,38781,"kingsville, texas, usa",31.0
39280,39281,"morris plains, new jersey, usa",45.0
39466,39467,"barcelona, catalunya, spain",35.0
39615,39616,"las vegas, nevada, usa",38.0
39645,39646,"fairless hills, pennsylvania, usa",35.0
40888,40889,"brainerd, minnesota, usa",37.0
40942,40943,"oklahoma city, oklahoma, usa",40.0
41840,41841,"sherwood park, alberta, canada",
42399,42400,"corinella, victoria, australia",
43245,43246,"toronto, ontario, canada",36.0
43841,43842,"tucson, ,",
46397,46398,"san antonio, texas, usa",37.0
48493,48494,"lemon grove, california, usa",51.0
49108,49109,"west jordan, utah, usa",38.0
49143,49144,"ferreries, illes balears, spain",43.0
49888,49889,"orem, utah, usa",
50224,50225,"fresno, california, usa",
51385,51386,"adrian, michigan, usa",41.0
51449,51450,"lawrenceville, georgia, usa",54.0
51882,51883,"jasper, missouri, usa",31.0
52198,52199,"houston, texas, usa",47.0
52583,52584,"livermore, california, usa",45.0
52613,52614,"toccoa, ga., usa",33.0
52852,52853,"yuba city, california, usa",61.0
52916,52917,"bellevue, washington, usa",42.0
53173,53174,"orlando, florida, usa",29.0
54217,54218,"kaiserslautern, rheinland-pfalz, germany",27.0
55489,55490,"rapid city, south dakota, usa",25.0
55491,55492,"antioch, illinois, usa",43.0
55547,55548,"chamblee, georgia, usa",
56270,56271,"leeds, england, united kingdom",22.0
56398,56399,"n/a, surrey, united kingdom",63.0
56446,56447,"sturgis, michigan, usa",22.0
56855,56856,"escondido, california, usa",23.0
56958,56959,"monroe twp., new jersey, usa",52.0
59171,59172,"owen sound, ontario, canada",36.0
60243,60244,"alvin, texas, usa",47.0
60276,60277,"boston, massachusetts, usa",
61618,61619,"coburg, oregon, usa",
63713,63714,"milton keynes, england, united kingdom",29.0
65257,65258,"saginaw, michigan, usa",42.0
68554,68555,"bad axe, michigan, usa",
69041,69042,"drayton valley, alberta, canada",55.0
69077,69078,"new york, new york, usa",42.0
69231,69232,"mooresville, north carolina, usa",55.0
69354,69355,"syracuse, new york, usa",
69696,69697,"west sacramento, california, usa",24.0
69970,69971,"pinehurst, north carolina, usa",43.0
72991,72992,"vanves, ile-de-france, france",44.0
73393,73394,"san diego, california, usa",33.0
75590,75591,"charleston, west virginia, usa",33.0
75859,75860,"buffalo, minnesota, usa",30.0
76351,76352,"olympia, washington, usa",58.0
76498,76499,"new york, new york, usa",
76625,76626,"london, england, united kingdom",38.0
76941,76942,"sacramento, california, usa",25.0
77808,77809,"atlantic highlands, new jersey, usa",29.0
77939,77940,"melaka, melaka, malaysia",
78782,78783,"chantilly, virginia, usa",49.0
78833,78834,"honolulu, hawaii, usa",28.0
78972,78973,"amadora, lisboa, portugal",29.0
79185,79186,"fairbanks, alaska, usa",37.0
81491,81492,"san antonio, texas, usa",28.0
82830,82831,"nashville, tennessee, usa",21.0
82892,82893,"san antonio, texas, usa",40.0
83636,83637,"raleigh, north carolina, usa",57.0
84023,84024,"abilene, texas, usa",37.0
85525,85526,"victoria, british columbia, canada",36.0
85655,85656,"cottage grove, oregon, usa",41.0
86242,86243,"christchurch, canterbury, new zealand",
87140,87141,"huntington beach, california, usa",
87554,87555,"lexington, kentucky, usa",31.0
87745,87746,"wallingford, connecticut, usa",52.0
88692,88693,"shanghai, shanghai, china",30.0
88732,88733,"houston, texas, usa",
89601,89602,"honolulu, hawaii, usa",
89890,89891,"olesa de montserrat, barcelona, spain",34.0
91831,91832,"miami, florida, usa",
91930,91931,"new westminster, british columbia, canada",40.0
93046,93047,"nashua, new hampshire, usa",52.0
93084,93085,"cedar rapids, iowa, usa",34.0
93362,93363,"farmington hills, michigan, usa",30.0
93628,93629,"baton rouge, louisiana, usa",54.0
94346,94347,"oakland, new jersey, usa",44.0
94852,94853,"christchurch, canterbury, new zealand",27.0
94922,94923,"brick, new jersey, usa",40.0
95192,95193,"bellingham, washington, usa",69.0
95358,95359,"charleston, west virginia, usa",33.0
95931,95932,"manchester, new hampshire, usa",36.0
98296,98297,"espoo, uusimaa, finland",24.0
98390,98391,"morrow, georgia, usa",52.0
98740,98741,"fairbanks, alaska, usa",30.0
100458,100459,"bay area, california, usa",38.0
100845,100846,"plainfield, illinois, usa",39.0
100905,100906,"seattle, washington, usa",34.0
101208,101209,"ft huachuca, arizona, usa",44.0
101850,101851,"keizer, oregon, usa",29.0
101875,101876,"nicholasville, kentucky, usa",38.0
102701,102702,"honolulu, hawaii, usa",34.0
102966,102967,"olympia, washington, usa",54.0
104635,104636,"youngstown, ohio, usa",
104664,104665,"altoona, iowa, usa",30.0
105373,105374,"montreal, quebec, canada",25.0
105516,105517,"calgary, alberta, canada",28.0
105978,105979,"oakland, california, usa",26.0
106224,106225,"chicago, illinois, usa",38.0
107020,107021,"indianapolis, indiana, usa",45.0
107300,107301,"west kensington, london, united kingdom",31.0
107783,107784,"tarentum, pennsylvania, usa",
107950,107951,"tübingen, baden-württemberg, germany",
108284,108285,"appleton, wisconsin, usa",22.0
110028,110029,"norwich, england, united kingdom",27.0
110482,110483,"fredericton, new brunswick, canada",30.0
110911,110912,"milpitas, california, usa",36.0
110972,110973,"wiley ford, west virginia, usa",43.0
111946,111947,"albuquerque, new mexico, usa",30.0
112000,112001,"barren springs, virginia, usa",43.0
112025,112026,"lakewood, washington, usa",17.0
112880,112881,"kitchener, ontario, canada",18.0
113269,113270,"evanston, illinois, usa",25.0
113518,113519,"pleasanton, california, usa",
113982,113983,"plano, texas, usa",39.0
114367,114368,"mechanicsville, maryland, usa",33.0
114413,114414,"edinburg, texas, usa",27.0
114864,114865,"croydon, victoria, australia",97.0
114867,114868,"edmonton, alberta, canada",31.0
114987,114988,"temple, texas, usa",37.0
115119,115120,"sherman oaks, california, usa",29.0
115489,115490,"dekalb, illinois, usa",
116598,116599,"tehran, tehran, iran",29.0
120547,120548,"ourense, ourense, spain",39.0
122428,122429,"kamuela, hawaii, usa",48.0
122880,122881,"yeovil, england, united kingdom",
123882,123883,"topeka, kansas, usa",18.0
123980,123981,"phoenix, arizona, usa",46.0
124486,124487,"ramah, new mexico, usa",
124941,124942,"olympia, washington, usa",
125038,125039,"lafayette, indiana, usa",27.0
125691,125692,"elmira, new york, usa",28.0
125773,125774,"tehran, tehran, iran",36.0
126735,126736,"fulton, missouri, usa",38.0
127199,127200,"urbana, illinois, usa",
127232,127233,"marietta, georgia, usa",29.0
127358,127359,"beaverton, oregon, usa",33.0
127428,127429,"kansas city, missouri, usa",23.0
128834,128835,"bellingham, washington, usa",60.0
129073,129074,"marietta, georgia, usa",51.0
129357,129358,"highland, california, usa",36.0
129715,129716,"tallahassee, florida, usa",30.0
129850,129851,"philadelphia, pennsylvania, usa",35.0
130473,130474,"nashville, tennessee, usa",33.0
130570,130571,"summerville, south carolina, usa",
131045,131046,"ellington, connecticut, usa",26.0
131401,131402,"governors bay, canterbury, new zealand",
131854,131855,"farnborough, hampshire, united kingdom",31.0
133566,133567,"frankfurt am main, hessen, germany",57.0
133746,133747,"gaithersburg, maryland, usa",28.0
135044,135045,"spring, texas, usa",29.0
135148,135149,"ft. pierce, florida, usa",
135264,135265,"groton, connecticut, usa",32.0
136009,136010,"brampton, ontario, canada",
136204,136205,"crest hill, illinois, usa",39.0
136251,136252,"santa fe, new mexico, usa",33.0
136381,136382,"edmonton, alberta, canada",
138440,138441,"merrimack, new hampshire, usa",34.0
138843,138844,"winnipeg, manitoba, canada",40.0
139999,140000,"london, england, united kingdom",
141492,141493,"dove canyon, california, usa",44.0
142523,142524,"detroit, michigan, usa",36.0
143174,143175,"blythewood, south carolina, usa",28.0
143252,143253,"dyersburg, tennessee, usa",27.0
143414,143415,"bellingham, washington, usa",50.0
144130,144131,"croydon, victoria, australia",39.0
144530,144531,"pleasanton, california, usa",37.0
145448,145449,"virginia beach, virginia, usa",
145450,145451,"winter haven, florida, usa",63.0
145618,145619,"middletown, connecticut, usa",36.0
146112,146113,"cary, north carolina, usa",
146347,146348,"tigard, oregon, usa",
147450,147451,"herne bay, england, united kingdom",37.0
147846,147847,"greenville, illinois, usa",
148257,148258,"toronto, ontario, canada",
148743,148744,"campbellsport, wisconsin, usa",67.0
149906,149907,"hendersonville, north carolina, usa",42.0
149907,149908,"hull, england, united kingdom",29.0
150123,150124,"york, nebraska, usa",30.0
150967,150968,"manchester, new hampshire, usa",47.0
151805,151806,"christchurch, canterbury, new zealand",50.0
152248,152249,"salt lake, utah, usa",
153661,153662,"ft. stewart, georgia, usa",44.0
155146,155147,"seattle, washington, usa",60.0
156149,156150,"howell, new jersey, usa",36.0
156268,156269,"chicago, illinois, usa",53.0
157272,157273,"dripping springs, texas, usa",37.0
158294,158295,"cleveland, ohio, usa",
159032,159033,"taneytown, maryland, usa",46.0
160818,160819,"miami, florida, usa",43.0
161751,161752,"mesa, arizona, usa",58.0
162051,162052,"danville, virginia, usa",51.0
162638,162639,"kelso, washington, usa",
162737,162738,"waterford, michigan, usa",35.0
164532,164533,"sitges, barcelona, spain",46.0
165307,165308,"new berlin, wisconsin, usa",33.0
165318,165319,"tucson, arizona, usa",28.0
166122,166123,"cortez, colorado, usa",32.0
166595,166596,"greenwood, british columbia, canada",57.0
167470,167471,"milton, ontario, canada",29.0
167799,167800,"olive branch, mississippi, usa",57.0
168244,168245,"delisle, saskatchewan, canada",37.0
168386,168387,"frankston, victoria, australia",32.0
169232,169233,"chicago, illinois, usa",27.0
170183,170184,"melton mowbray, england, united kingdom",51.0
170228,170229,"chicago, illinois, usa",56.0
170517,170518,"gaithersburg, maryland, usa",61.0
171117,171118,"toronto, ontario, canada",47.0
172029,172030,"rainsville, alabama, usa",30.0
172511,172512,"louisville, kentucky, usa",25.0
172741,172742,"astoria, oregon, usa",44.0
173290,173291,"greensboro, north carolina, usa",29.0
173414,173415,"chicago, illinois, usa",31.0
173631,173632,"graz, steiermark, austria",36.0
174303,174304,"st. louis, missouri, usa",26.0
174790,174791,"long beach, california, usa",38.0
175002,175003,"round rock, texas, usa",33.0
175885,175886,"hindmarsh island, south australia, australia",52.0
177071,177072,"moberly, missouri, usa",47.0
177457,177458,"ottawa, ontario, canada",29.0
178180,178181,"bloomfield hills, michigan, usa",32.0
178666,178667,"freehold, new jersey, usa",34.0
179732,179733,"greenville, texas, usa",26.0
179977,179978,"perry, new york, usa",28.0
180650,180651,"coventry, england, united kingdom",54.0
181175,181176,"st. louis, missouri, usa",43.0
182084,182085,"ginsheim, hessen, germany",
182986,182987,"armentia, álava, spain",
183994,183995,"columbus (grandview heights), ohio, usa",49.0
184298,184299,"omaha, nebraska, usa",31.0
185232,185233,"winnemucca, nevada, usa",31.0
185383,185384,"st. charles, missouri, usa",
186569,186570,"rantoul, illinois, usa",28.0
187144,187145,"grapeview, washington, usa",65.0
187516,187517,"brooklyn, new york, usa",28.0
188009,188010,"edmonton, alberta, canada",
189333,189334,"ottawa, ontario, canada",49.0
189834,189835,"honolulu, hawaii, usa",
190707,190708,"ramona, california, usa",43.0
190924,190925,"hobe sound, florida, usa",51.0
193559,193560,"coalville, england, united kingdom",37.0
194599,194600,"toronto, ontario, canada",51.0
194668,194669,"savannah, georgia, usa",46.0
195693,195694,"tucson, arizona, usa",29.0
196076,196077,"disputanta, virginia, usa",28.0
196159,196160,"auburn, alabama, usa",22.0
197658,197659,"indiana, pennsylvania, usa",49.0
198710,198711,"little canada, minnesota, usa",62.0
200225,200226,"burlington, ontario, canada",39.0
200673,200674,"pittsburg, missouri, usa",58.0
201289,201290,"seixal, setúbal, portugal",35.0
201525,201526,"vancouver, british columbia, canada",25.0
203239,203240,"st. louis, missouri, usa",32.0
203798,203799,"menasha, wisconsin, usa",54.0
203967,203968,"cumberland, maryland, usa",
204863,204864,"simi valley, california, usa",47.0
205472,205473,"ottawa, ontario, canada",32.0
205734,205735,"mosinee, wisconsin, usa",26.0
206533,206534,"evanston, illinois, usa",
206566,206567,"new orleans, louisiana, usa",33.0
206978,206979,"dunedin, otago, new zealand",22.0
208828,208829,"fredericton, new brunswick, canada",
209372,209373,"mountain view, california, usa",37.0
209515,209516,"felixstowe, suffolk, united kingdom",57.0
209755,209756,"sacramento, california, usa",36.0
210034,210035,"cumberland, maryland, usa",24.0
210484,210485,"carmichael, california, usa",35.0
210791,210792,"franconia, virginia, usa",36.0
211425,211426,"pueblo, colorado, usa",24.0
211918,211919,"jacksonville, florida, usa",38.0
212644,212645,"coal township, pennsylvania, usa",21.0
212897,212898,"la ronge, saskatchewan, canada",
212922,212923,"minneapolis, minnesota, usa",34.0
212964,212965,"akron,, ohio, usa",43.0
213349,213350,"rowland heights, california, usa",65.0
214785,214786,"boone county, kentucky, usa",
216011,216012,"clevelad, ohio, usa",34.0
216443,216444,"nunspeet, gelderland, netherlands",57.0
216682,216683,"san jose, california, usa",
217105,217106,"rock island, illinois, usa",55.0
217120,217121,"frodsham, england, united kingdom",43.0
217374,217375,"st. petersburg, florida, usa",35.0
217739,217740,"madrid, madrid, spain",37.0
218551,218552,"san antonio, texas, usa",48.0
219545,219546,"new albany, indiana, usa",25.0
221444,221445,"portland, oregon, usa",
222295,222296,"chapel hill, north carolina, usa",
223086,223087,"sherman oaks, california, usa",
224137,224138,"carlsbad, california, usa",
224348,224349,"columbia, maryland, usa",23.0
224763,224764,"rockaway, new jersey, usa",116.0
225086,225087,"toronto, ontario, canada",51.0
225231,225232,"sydney, new south wales, australia",4.0
225762,225763,"san francisco, california, usa",
225809,225810,"el cajon, california, usa",56.0
225985,225986,"watford, england, united kingdom",36.0
226544,226545,"mesa, arizona, usa",38.0
226878,226879,"overland park, kansas, usa",31.0
227446,227447,"kelseyville, california, usa",38.0
227519,227520,"san jose, california, usa",33.0
227704,227705,"westport, connecticut, usa",36.0
228680,228681,"dumont, new jersey, usa",
228763,228764,"oakdale, california, usa",39.0
228997,228998,"lincoln, nebraska, usa",41.0
229328,229329,"st-légier, vaud, switzerland",56.0
229550,229551,"ottawa, ontario, canada",28.0
230521,230522,"colorado springs, colorado, usa",52.0
231209,231210,"roanoke, virginia, usa",44.0
231856,231857,"canberra, australian capital territory, australia",46.0
232130,232131,"oakland, california, usa",
233910,233911,"romney, west virginia, usa",41.0
233916,233917,"madera, california, usa",38.0
234358,234359,"morro bay, california, usa",35.0
234622,234623,"scarborough, maine, usa",
234827,234828,"fairbanks, alaska, usa",
235104,235105,"st louis, missouri, usa",46.0
235391,235392,"st. louis, missouri, usa",27.0
235841,235842,"griswold, iowa, usa",41.0
236171,236172,"chesapeake, virginia, usa",34.0
236282,236283,"orlando, florida, usa",41.0
236339,236340,"st kilda, victoria, australia",29.0
236756,236757,"mars, pennsylvania, usa",
238119,238120,"louisville, kentucky, usa",25.0
238556,238557,"kuala lumpur, selangor, malaysia",21.0
238780,238781,"yucca valley, california, usa",51.0
238863,238864,"powys, wales, united kingdom",32.0
238960,238961,"antioch, illinois, usa",18.0
240143,240144,"muskego, wisconsin, usa",34.0
241197,241198,"stuttgart, baden-württemberg, germany",
241547,241548,"saratoga, california, usa",44.0
242005,242006,"santo domingo, distrito nacional, dominican republic",30.0
242105,242106,"covington, virginia, usa",28.0
242298,242299,"orlando, florida, usa",25.0
242823,242824,"belton, texas, usa",21.0
243076,243077,"ann arbor, michigan, usa",34.0
244348,244349,"los banos, california, usa",40.0
245826,245827,"albuquerque, ,",
245962,245963,"saint louis, missouri, usa",
246616,246617,"derby, england, united kingdom",27.0
246654,246655,"mooresville, north carolina, usa",
246670,246671,"melbourne, victoria, australia",27.0
247446,247447,"long beach, california, usa",19.0
248717,248718,"hyde park, new york, usa",43.0
249861,249862,"sugar land, texas, usa",
249893,249894,"duncansville, pennsylvania, usa",
250404,250405,"columbus, ohio, usa",55.0
250763,250764,"cove, oregon, usa",
251393,251394,"portland, maine, usa",25.0
251421,251422,"cumberland, maryland, usa",23.0
251612,251613,"sonoma, california, usa",34.0
252070,252071,"catawba, wisconsin, usa",32.0
252694,252695,"lincoln, nebraska, usa",
252847,252848,"vinton, virginia, usa",32.0
254464,254465,"maryville, tennessee, usa",22.0
254497,254498,"cuneo, piemonte, italy",
254898,254899,"browns mills, new jersey, usa",54.0
255217,255218,"anaheim, california, usa",46.0
255488,255489,"sherman oaks, california, usa",
256166,256167,"temecula, california, usa",14.0
256406,256407,"florissant, missouri, usa",58.0
257203,257204,"akron, ohio, usa",32.0
258151,258152,"calgary, alberta, canada",29.0
258184,258185,"livermore, maine, usa",37.0
258533,258534,"mcqueeney, texas, usa",32.0
260896,260897,"chicago, illinois, usa",25.0
261104,261105,"basel, basel-stadt, switzerland",50.0
261828,261829,"fpo, ap, usa",32.0
262398,262399,"glen allen, virginia, usa",48.0
262997,262998,"melbourne, victoria, australia",
263459,263460,"tampa, florida, usa",31.0
263876,263877,"victoria, british columbia, canada",44.0
264320,264321,"toronto, ontario, canada",33.0
265114,265115,"vista, california, usa",
265312,265313,"morrisville, north carolina, usa",33.0
265888,265889,"kitchener, ontario, canada",30.0
266055,266056,"hoover, alabama, usa",47.0
266225,266226,"new york, new york, usa",
266864,266865,"reston, virginia, usa",33.0
266865,266866,"northamptonshire, england, united kingdom",33.0
268029,268030,"christchurch, canterbury, new zealand",
268109,268110,"westerville, ohio, usa",
268329,268330,"miami, florida, usa",23.0
268931,268932,"red deer, alberta, canada",38.0
269565,269566,"seattle, washington, usa",9.0
269718,269719,"jacksonville, north carolina, usa",33.0
269727,269728,"london, england, united kingdom",40.0
270712,270713,"toronto, ontario, canada",27.0
271283,271284,"alexandria, virginia, usa",50.0
274003,274004,"sydenham, london, england, united kingdom",41.0
274060,274061,"gahanna/columbus, ohio, usa",26.0
274307,274308,"delray beach, florida, usa",33.0
275969,275970,"pittsburgh, pennsylvania, usa",46.0
277426,277427,"gilbert, arizona, usa",48.0
278417,278418,"omaha, nebraska, usa",
